"","service","years","censor"
"620","salloon",11,"censored"
"621","salloon",11,"censored"
"622","salloon",11,"censored"
"623","salloon",11,"censored"
"624","salloon",11,"censored"
"625","salloon",11,"censored"
"626","salloon",11,"censored"
"627","salloon",11,"censored"
"628","salloon",11,"censored"
"629","salloon",11,"censored"
"630","salloon",11,"censored"
"631","salloon",11,"censored"
"632","salloon",11,"censored"
"633","salloon",11,"censored"
"634","salloon",11,"censored"
"635","salloon",11,"censored"
"636","salloon",11,"censored"
"637","salloon",11,"censored"
"638","salloon",11,"censored"
"639","salloon",11,"censored"
"640","salloon",11,"censored"
"641","salloon",11,"censored"
"642","rest",1,"interval"
"643","rest",1,"interval"
"644","rest",1,"interval"
"645","rest",1,"interval"
"646","rest",1,"interval"
"647","rest",1,"interval"
"648","rest",1,"interval"
"649","rest",1,"interval"
"650","rest",1,"interval"
"651","rest",1,"interval"
"652","rest",1,"interval"
"653","rest",1,"interval"
"654","rest",1,"interval"
"655","rest",1,"interval"
"656","rest",1,"interval"
"657","rest",1,"interval"
"658","rest",1,"interval"
"659","rest",1,"interval"
"660","rest",1,"interval"
"661","rest",1,"interval"
"662","rest",1,"interval"
"663","rest",1,"interval"
"664","rest",1,"interval"
"665","rest",1,"interval"
"666","rest",1,"interval"
"667","rest",1,"interval"
"668","rest",1,"interval"
"669","rest",1,"interval"
"670","rest",1,"interval"
"671","rest",1,"interval"
"672","rest",1,"interval"
"673","rest",1,"interval"
"674","rest",1,"interval"
"675","rest",1,"interval"
"676","rest",1,"interval"
"677","rest",1,"interval"
"678","rest",1,"interval"
"679","rest",1,"interval"
"680","rest",1,"interval"
"681","rest",1,"interval"
"682","rest",1,"interval"
"683","rest",1,"interval"
"684","rest",1,"interval"
"685","rest",1,"interval"
"686","rest",1,"interval"
"687","rest",1,"interval"
"688","rest",1,"interval"
"689","rest",1,"interval"
"690","rest",1,"interval"
"691","rest",1,"interval"
"692","rest",1,"interval"
"693","rest",1,"interval"
"694","rest",1,"interval"
"695","rest",1,"interval"
"696","rest",1,"interval"
"697","rest",1,"interval"
"698","rest",1,"interval"
"699","rest",1,"interval"
"700","rest",1,"interval"
"701","rest",1,"interval"
"702","rest",1,"interval"
"703","rest",1,"interval"
"704","rest",1,"interval"
"705","rest",1,"interval"
"706","rest",1,"interval"
"707","rest",1,"interval"
"708","rest",1,"interval"
"709","rest",1,"interval"
"710","rest",1,"interval"
"711","rest",1,"interval"
"712","rest",1,"interval"
"713","rest",1,"interval"
"714","rest",1,"interval"
"715","rest",1,"interval"
"716","rest",1,"interval"
"717","rest",1,"interval"
"718","rest",1,"interval"
"719","rest",1,"interval"
"720","rest",1,"interval"
"721","rest",1,"interval"
"722","rest",1,"interval"
"723","rest",1,"interval"
"724","rest",1,"interval"
"725","rest",1,"interval"
"726","rest",1,"interval"
"727","rest",1,"interval"
"728","rest",1,"interval"
"729","rest",1,"interval"
"730","rest",1,"interval"
"731","rest",1,"interval"
"732","rest",1,"interval"
"733","rest",1,"interval"
"734","rest",1,"interval"
"735","rest",1,"interval"
"736","rest",1,"interval"
"737","rest",1,"interval"
"738","rest",1,"interval"
"739","rest",1,"interval"
"740","rest",1,"interval"
"741","rest",1,"interval"
"742","rest",1,"interval"
"743","rest",1,"interval"
"744","rest",1,"interval"
"745","rest",1,"interval"
"746","rest",1,"interval"
"747","rest",1,"interval"
"748","rest",1,"interval"
"749","rest",1,"interval"
"750","rest",1,"interval"
"751","rest",1,"interval"
"752","rest",1,"interval"
"753","rest",1,"interval"
"754","rest",1,"interval"
"755","rest",1,"interval"
"756","rest",1,"interval"
"757","rest",1,"interval"
"758","rest",1,"interval"
"759","rest",1,"interval"
"760","rest",1,"interval"
"761","rest",1,"interval"
"762","rest",1,"interval"
"763","rest",1,"interval"
"764","rest",1,"interval"
"765","rest",1,"interval"
"766","rest",1,"interval"
"767","rest",1,"interval"
"768","rest",1,"interval"
"769","rest",1,"interval"
"770","rest",1,"interval"
"771","rest",1,"interval"
"772","rest",1,"interval"
"773","rest",1,"interval"
"774","rest",1,"interval"
"775","rest",1,"interval"
"776","rest",1,"interval"
"777","rest",1,"interval"
"778","rest",1,"interval"
"779","rest",1,"interval"
"780","rest",1,"interval"
"781","rest",1,"interval"
"782","rest",1,"interval"
"783","rest",1,"interval"
"784","rest",1,"interval"
"785","rest",2,"interval"
"786","rest",2,"interval"
"787","rest",2,"interval"
"788","rest",2,"interval"
"789","rest",2,"interval"
"790","rest",2,"interval"
"791","rest",2,"interval"
"792","rest",2,"interval"
"793","rest",2,"interval"
"794","rest",2,"interval"
"795","rest",2,"interval"
"796","rest",2,"interval"
"797","rest",2,"interval"
"798","rest",2,"interval"
"799","rest",2,"interval"
"800","rest",2,"interval"
"801","rest",2,"interval"
"802","rest",2,"interval"
"803","rest",2,"interval"
"804","rest",2,"interval"
"805","rest",2,"interval"
"806","rest",2,"interval"
"807","rest",2,"interval"
"808","rest",2,"interval"
"809","rest",2,"interval"
"810","rest",2,"interval"
"811","rest",2,"interval"
"812","rest",2,"interval"
"813","rest",2,"interval"
"814","rest",2,"interval"
"815","rest",2,"interval"
"816","rest",2,"interval"
"817","rest",2,"interval"
"818","rest",2,"interval"
"819","rest",2,"interval"
"820","rest",2,"interval"
"821","rest",2,"interval"
"822","rest",2,"interval"
"823","rest",2,"interval"
"824","rest",2,"interval"
"825","rest",2,"interval"
"826","rest",2,"interval"
"827","rest",2,"interval"
"828","rest",2,"interval"
"829","rest",2,"interval"
"830","rest",2,"interval"
"831","rest",2,"interval"
"832","rest",2,"interval"
"833","rest",2,"interval"
"834","rest",2,"interval"
"835","rest",2,"interval"
"836","rest",2,"interval"
"837","rest",2,"interval"
"838","rest",3,"interval"
"839","rest",3,"interval"
"840","rest",3,"interval"
"841","rest",3,"interval"
"842","rest",3,"interval"
"843","rest",3,"interval"
"844","rest",3,"interval"
"845","rest",3,"interval"
"846","rest",3,"interval"
"847","rest",3,"interval"
"848","rest",3,"interval"
"849","rest",3,"interval"
"850","rest",3,"interval"
"851","rest",3,"interval"
"852","rest",3,"interval"
"853","rest",3,"interval"
"854","rest",3,"interval"
"855","rest",3,"interval"
"856","rest",3,"interval"
"857","rest",3,"interval"
"858","rest",3,"interval"
"859","rest",3,"interval"
"860","rest",3,"interval"
"861","rest",3,"interval"
"862","rest",3,"interval"
"863","rest",3,"interval"
"864","rest",3,"interval"
"865","rest",3,"interval"
"866","rest",3,"interval"
"867","rest",3,"interval"
"868","rest",3,"interval"
"869","rest",3,"interval"
"870","rest",3,"interval"
"871","rest",3,"interval"
"872","rest",3,"interval"
"873","rest",3,"interval"
"874","rest",3,"interval"
"875","rest",3,"interval"
"876","rest",3,"interval"
"877","rest",3,"interval"
"878","rest",3,"interval"
"879","rest",3,"interval"
"880","rest",3,"interval"
"881","rest",3,"interval"
"882","rest",3,"interval"
"883","rest",4,"interval"
"884","rest",4,"interval"
"885","rest",4,"interval"
"886","rest",4,"interval"
"887","rest",4,"interval"
"888","rest",4,"interval"
"889","rest",4,"interval"
"890","rest",4,"interval"
"891","rest",4,"interval"
"892","rest",4,"interval"
"893","rest",4,"interval"
"894","rest",4,"interval"
"895","rest",4,"interval"
"896","rest",4,"interval"
"897","rest",4,"interval"
"898","rest",4,"interval"
"899","rest",4,"interval"
"900","rest",4,"interval"
"901","rest",4,"interval"
"902","rest",4,"interval"
"903","rest",4,"interval"
"904","rest",4,"interval"
"905","rest",4,"interval"
"906","rest",4,"interval"
"907","rest",4,"interval"
"908","rest",4,"interval"
"909","rest",4,"interval"
"910","rest",4,"interval"
"911","rest",4,"interval"
"912","rest",4,"interval"
"913","rest",4,"interval"
"914","rest",4,"interval"
"915","rest",4,"interval"
"916","rest",5,"interval"
"917","rest",5,"interval"
"918","rest",5,"interval"
"919","rest",5,"interval"
"920","rest",5,"interval"
"921","rest",5,"interval"
"922","rest",5,"interval"
"923","rest",5,"interval"
"924","rest",5,"interval"
"925","rest",5,"interval"
"926","rest",5,"interval"
"927","rest",5,"interval"
"928","rest",5,"interval"
"929","rest",5,"interval"
"930","rest",5,"interval"
"931","rest",5,"interval"
"932","rest",5,"interval"
"933","rest",5,"interval"
"934","rest",5,"interval"
"935","rest",6,"interval"
"936","rest",6,"interval"
"937","rest",6,"interval"
"938","rest",6,"interval"
"939","rest",6,"interval"
"940","rest",6,"interval"
"941","rest",6,"interval"
"942","rest",6,"interval"
"943","rest",6,"interval"
"944","rest",6,"interval"
"945","rest",6,"interval"
"946","rest",6,"interval"
"947","rest",6,"interval"
"948","rest",6,"interval"
"949","rest",6,"interval"
"950","rest",6,"interval"
"951","rest",6,"interval"
"952","rest",7,"interval"
"953","rest",7,"interval"
"954","rest",7,"interval"
"955","rest",7,"interval"
"956","rest",7,"interval"
"957","rest",7,"interval"
"958","rest",7,"interval"
"959","rest",7,"interval"
"960","rest",7,"interval"
"961","rest",7,"interval"
"962","rest",7,"interval"
"963","rest",7,"interval"
"964","rest",7,"interval"
"965","rest",7,"interval"
"966","rest",7,"interval"
"967","rest",7,"interval"
"968","rest",7,"interval"
"969","rest",7,"interval"
"970","rest",7,"interval"
"971","rest",7,"interval"
"972","rest",7,"interval"
"973","rest",7,"interval"
"974","rest",7,"interval"
"975","rest",7,"interval"
"976","rest",8,"interval"
"977","rest",8,"interval"
"978","rest",8,"interval"
"979","rest",8,"interval"
"980","rest",8,"interval"
"981","rest",8,"interval"
"982","rest",8,"interval"
"983","rest",8,"interval"
"984","rest",8,"interval"
"985","rest",8,"interval"
"986","rest",9,"interval"
"987","rest",9,"interval"
"988","rest",9,"interval"
"989","rest",9,"interval"
"990","rest",9,"interval"
"991","rest",9,"interval"
"992","rest",9,"interval"
"993","rest",10,"interval"
"994","rest",10,"interval"
"995","rest",10,"interval"
"996","rest",10,"interval"
"997","rest",10,"interval"
"998","rest",10,"interval"
"999","rest",10,"interval"
"1000","rest",10,"interval"
"1001","rest",11,"censored"
"1002","rest",11,"censored"
"1003","rest",11,"censored"
"1004","rest",11,"censored"
"1005","rest",11,"censored"
"1006","rest",11,"censored"
"1007","rest",11,"censored"
"1008","rest",11,"censored"
"1009","rest",11,"censored"
"1010","rest",11,"censored"
"1011","rest",11,"censored"
"1012","rest",11,"censored"
"1013","rest",11,"censored"
"1014","rest",11,"censored"
"1015","rest",11,"censored"
"1016","rest",11,"censored"
"1017","rest",11,"censored"
"1018","rest",11,"censored"
"1019","rest",11,"censored"
"1020","rest",11,"censored"
"1021","rest",11,"censored"
